City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Patricio,75,MX,1595985868,74,19.22,-104.7,87.8,11.41
Punta Arenas,81,CL,1595985783,86,-53.15,-70.92,37.4,13.87
Kapaa,90,US,1595985860,78,22.08,-159.32,80.6,14.99
Port Alfred,0,ZA,1595985866,81,-33.59,26.89,58.03,12.15
Jamestown,1,US,1595985757,56,42.1,-79.24,73.4,6.93
Asău,0,RO,1595986019,87,46.43,26.4,64.0,4.47
Berbera,0,SO,1595986060,51,10.44,45.01,86.83,17.54
Pangnirtung,98,CA,1595985865,80,66.15,-65.71,50.72,1.9
Touros,20,BR,1595985871,94,-5.2,-35.46,69.8,3.36
Mbanza-Ngungu,10,CD,1595986060,85,-5.25,14.87,65.5,7.94
Rikitea,3,PF,1595985858,80,-23.12,-134.97,72.52,15.23
Tasiilaq,42,GL,1595985862,100,65.61,-37.64,41.0,5.82
Mataura,100,NZ,1595985858,66,-46.19,168.86,48.56,6.29
Hobart,100,AU,1595985762,75,-42.88,147.33,48.0,8.05
Berezanka,0,UA,1595986061,67,46.85,31.39,69.82,8.28
Saint Paul Harbor,1,US,1595985837,49,57.79,-152.41,69.8,4.7
Bambous Virieux,20,MU,1595985879,83,-20.34,57.76,69.8,4.7
Ust'-Ishim,100,RU,1595986061,73,57.69,71.17,51.91,4.36
Scharnstein,69,AT,1595986061,89,47.9,13.96,69.01,4.27
Atuona,0,PF,1595985867,72,-9.8,-139.03,80.06,22.91
Barrow,90,US,1595985729,81,71.29,-156.79,42.8,20.8
Ponta do Sol,40,PT,1595985862,73,32.67,-17.1,71.6,8.05
Busselton,96,AU,1595985856,94,-33.65,115.33,57.99,3.78
Hualmay,1,PE,1595985877,83,-11.1,-77.61,59.04,8.23
Lima,90,PE,1595985778,77,-12.04,-77.03,60.8,8.05
Cape Town,0,ZA,1595985716,87,-33.93,18.42,51.01,5.82
Crowley,1,US,1595986033,94,30.21,-92.37,77.0,6.08
Bahía Blanca,0,AR,1595986040,65,-38.72,-62.27,41.86,8.41
Kutum,68,SD,1595986061,68,14.2,24.67,75.65,25.52
Vila Velha,0,BR,1595985760,83,-20.33,-40.29,72.0,11.41
Xai-Xai,0,MZ,1595985897,81,-25.05,33.64,56.25,7.29
Tuatapere,100,NZ,1595985892,79,-46.13,167.68,51.08,4.9
Kaitangata,100,NZ,1595985870,70,-46.28,169.85,51.01,13.0
Ushuaia,40,AR,1595985855,80,-54.8,-68.3,35.6,28.86
Bethel,1,US,1595985875,78,41.37,-73.41,77.0,3.36
Krosno,100,PL,1595986062,73,49.69,21.77,71.6,6.93
Saint George,1,US,1595985718,7,37.1,-113.58,104.0,14.99
Bariloche,4,AR,1595985717,74,-41.15,-71.31,30.2,8.05
Tuktoyaktuk,90,CA,1595985867,87,69.45,-133.04,48.2,10.29
Kashan,0,IR,1595986062,15,33.98,51.44,84.45,5.17
Chui,0,UY,1595985862,82,-33.7,-53.46,40.03,7.54
Severnoye,10,RU,1595986062,84,56.35,78.36,54.99,4.07
Belluno,12,IT,1595986062,76,46.15,12.22,75.0,4.63
Hambantota,75,LK,1595985893,100,6.12,81.12,77.0,3.36
Mar del Plata,20,AR,1595985813,75,-38.0,-57.56,43.0,9.17
Truro,0,GB,1595986062,93,50.27,-5.05,55.99,3.36
Santa Cruz Cabrália,25,BR,1595986062,83,-16.28,-39.02,69.8,2.24
Qaanaaq,48,GL,1595985858,72,77.48,-69.36,42.6,4.16
Souillac,20,MU,1595985878,83,-20.52,57.52,69.8,4.7
Nikolskoye,20,RU,1595985860,93,59.7,30.79,62.01,4.47
Lebu,64,CL,1595985872,84,-37.62,-73.65,45.55,14.09
Kiratu,89,TZ,1595986062,83,-3.33,35.67,58.01,5.17
Albany,34,US,1595985859,47,42.6,-73.97,75.0,4.36
